store_code	latitude	longitude
1	25.0272255	66.8915392
		
7	25.0250038	66.8856257
9	25.0253236	66.8857899
10	25.034041	66.8758458
13	25.0308037	66.8921603
15	25.0263053	66.8865992
		
21	25.0253177	66.8865103
24	25.0232533	66.8824817
25	25.0272328	66.8914905
27	25.0325141	66.8794768
31	25.0545391	66.8742153
35	25.0275327	66.885887
		
38	25.0294785	66.8897938
40	25.02494	66.8789332
41	25.0199349	66.8762576
45	25.025201	66.8867394
48	25.0249843	66.8887829
49	25.0548031	66.8744981
50	25.0303068	66.8805697
51	25.0546041	66.8742921
		
57	25.0549933	66.8741567
		
		
		
64	25.0261651	66.8880172
