store_code	latitude	longitude
1	25.0272255	66.8915392
		
7	25.0250038	66.8856257
9	25.0253236	66.8857899
10	25.034041	66.8758458
13	25.0308037	66.8921603
15	25.0263053	66.8865992
		
21	25.0253177	66.8865103
24	25.0232533	66.8824817
25	25.0272328	66.8914905
27	25.0325141	66.8794768
31	25.0545391	66.8742153
35	25.0275327	66.885887
		
38	25.0294785	66.8897938
40	25.02494	66.8789332
41	25.0199349	66.8762576
45	25.025201	66.8867394
48	25.0249843	66.8887829
49	25.0548031	66.8744981
50	25.0303068	66.8805697
51	25.0546041	66.8742921
		
57	25.0549933	66.8741567
		
		
		
64	25.0261651	66.8880172
		
70	25.0249343	66.8855121
72	25.0230033	66.8758952
		
75	25.0246074	66.8873847
76	25.0252426	66.8868421
78	25.0289411	66.8898854
83	25.050306	66.8546389
84	25.0238032	66.8844998
85	25.0237447	66.880095
92	25.0303622	66.8809051
93	25.0269375	66.8864325
95	25.0555049	66.8735528
		
97	25.0257018	66.8872932
98	25.025836	66.8869879
103	25.0265725	66.8866578
105	25.0242376	66.8858747
108	25.0264828	66.8867838
109	25.0323253	66.8792066
110	25.0271884	66.8860227
		
117	25.0262401	66.8865611
120	25.0255699	66.8835671
124	25.0295317	66.881165
126	25.0252085	66.8854566
128	25.0544949	66.874225
		
		
133	25.0260556	66.8875761
135	25.0238292	66.8875442
136	25.0273083	66.8870425
138	25.0294129	66.8894852
140	25.0262927	66.8866629
		
		
152	25.0549661	66.8742373
153	25.0320195	66.8940448
154	25.0271834	66.8858148
		
		
160	25.028458	66.8907242
		
163	25.0263059	66.8872613
166	25.0297367	66.8811967
167	25.0307918	66.8916502
168	25.0295129	66.8963397
		
172	25.0264767	66.8869289
173	25.0253733	66.8859033
175	25.0506776	66.8551795
177	25.0274391	66.8893219
		
184	25.0503941	66.8546639
		
		
		
190	25.0282334	66.8906753
192	25.0280535	66.88786
		
194	25.0272589	66.8869303
201	25.0277864	66.8861836
202	25.0255259	66.8833938
203	25.0263528	66.8781068
206	25.0250145	66.8824126
207	25.0319817	66.8786934
208	25.0237056	66.8800399
209	25.0270214	66.8865597
		
		
212	25.02614	66.8874917
215	25.0549584	66.873802
		
219	25.0274348	66.8857904
221	25.0249883	66.8887832
		
225	25.0247028	66.883945
		
227	25.054623	66.8747051
229	25.0299271	66.8818147
231	25.0308029	66.8921694
		
234	25.0281693	66.8879147
		
238	25.0305162	66.8916162
		
241	25.0282911	66.8879972
244	25.0264	66.8869544
245	25.0240052	66.8770102
		
247	25.0309593	66.8918326
249	25.0296933	66.8811633
250	25.0298631	66.8812066
251	25.0495347	66.8565706
		
254	25.0273654	66.887047
255	25.0252455	66.8868399
		
261	25.030985	66.892505
262	25.0425365	66.8638654
		
269	25.0305435	66.88058
		
271	25.0250471	66.8789077
272	25.024761	66.8777011
		
275	25.0279645	66.8877064
276	25.0301569	66.8811859
277	25.0249797	66.885478
		
280	25.0504634	66.855464
		
		
		
286	25.054588	66.8741066
		
288	25.0277417	66.8862849
		
		
		
		
		
		
		
299	25.0246896	66.8840053
		
		
307	25.0236817	66.879835
308	25.0238058	66.8841179
310	25.0254835	66.886373
312	25.0244366	66.8856048
318	25.0240245	66.8744362
319	25.0252631	66.8866589
323	25.0266454	66.886587
		
329	25.0241198	66.8858717
		
		
338	25.048545	66.8578962
		
		
342	25.0293533	66.8895217
343	25.0326493	66.8779195
345	25.027318	66.8859497
		
351	25.0039126	67.2141215
352	25.1318367	67.2324453
354	25.0644811	67.27002
357	25.131038	67.2317981
362	25.0640258	67.2693735
364	25.1314011	67.2327651
365	25.0037137	67.2151398
368	25.1315142	67.2328898
372	25.0636458	67.2611636
374	25.043335	67.24691
376	25.1311648	67.2318967
378	25.1308025	67.2321232
380	25.092574	67.2591314
381	25.0042487	67.2143701
383	25.0991109	67.2575295
386	25.0648697	67.2699832
388	25.0638531	67.2694913
392	25.13095	67.2320239
394	25.0039409	67.2141655
396	25.0467546	67.2499112
398	25.0481305	67.2505147
400	25.0637373	67.26937
404	25.063387	67.2682053
406	25.0632145	67.2678006
407	24.9868583	67.2121661
408	25.0643097	67.2693112
411	25.06393	67.2696121
412	25.0995252	67.2573618
415	25.1006102	67.2564822
416	25.0984049	67.257994
417	25.0639452	67.2695083
420	25.0996508	67.257348
421	24.9813133	67.2377783
422	25.131948	67.2321854
423	24.9793673	67.2401636
424	25.1308048	67.2321364
427	25.050343	67.2515435
428	25.1317165	67.2327108
429	25.0040048	67.2148279
430	25.096638	67.2565834
431	25.075318	67.2708216
433	25.1310842	67.2326551
434	25.0617897	67.2598823
435	25.0042009	67.214413
437	25.0641202	67.2694518
441	24.867375	67.0472617
442	24.8802777	67.0814312
443	24.8670883	67.0487451
444	24.9060305	67.0753085
445	24.9106354	67.1257731
448	24.8848145	67.0804115
449	24.9183197	67.1106004
452	24.8659391	67.0392782
453	24.9141633	67.1018002
456	24.86324	67.04496
459	24.8693874	67.0518556
460	24.907171	67.1112109
461	24.913515	67.102055
463	24.8906599	67.0627101
465	24.9187267	67.107325
466	24.8844512	67.0743139
470	24.9015054	67.1153767
471	24.9186433	67.1106017
473	24.8685173	67.0307653
474	24.9186727	67.1067517
478	24.8987884	67.0682572
479	24.8840517	67.0471883
486	24.9055361	67.1180233
490	24.8680026	67.0354529
491	24.9038379	67.1144214
493	24.87369	67.04508
496	24.898525	67.076825
497	24.8980937	67.0608467
498	24.9204332	67.106386
499	24.8655067	67.0360933
500	24.8626323	67.054361
504	24.88857	67.042495
505	24.8947349	67.0552333
506	24.8833607	67.0824201
507	24.8837553	67.0838709
508	24.9222065	67.1032004
509	24.8826129	67.0658983
515	24.89725	67.0770683
516	24.9095922	67.0846486
524	24.9035417	67.06738
527	24.9191687	67.1048882
528	24.8810572	67.0410824
529	24.8926183	67.0507434
531	24.8631317	67.04482
533	24.904097	67.0684513
536	24.9131977	67.1021312
538	24.8655633	67.0388817
539	24.8916701	67.0460879
540	24.8827474	67.0499128
542	24.9014182	67.0816916
543	24.8839079	67.0552663
545	24.9029517	67.0837033
546	24.8742183	67.0473483
547	24.8702067	67.0474633
550	24.9130995	67.1022452
551	24.9058164	67.1183329
553	24.8643029	67.043184
556	24.8674833	67.0405133
557	24.9041484	67.1092017
559	24.8833159	67.0704993
561	24.8922483	67.05168
562	24.8638396	67.0442035
563	24.8666692	67.0347856
564	24.889153	67.0590127
565	24.8982677	67.1146514
566	24.8976389	67.0620828
567	24.9096829	67.0844403
568	24.9084785	67.0826647
573	24.8982916	67.1146089
575	24.8977617	67.0610167
576	24.8646299	67.0448683
577	24.8982865	67.1147824
578	24.8863592	67.0765028
579	24.8848043	67.0444237
580	24.8951867	67.0564417
581	24.9211906	67.1020123
587	24.9120436	67.1008584
589	24.8655291	67.0360629
590	24.8924213	67.0539615
591	24.8732364	67.0449765
594	24.896517	67.0651111
596	24.9138358	67.1034754
597	24.9036438	67.0701875
598	24.9124116	67.1036182
604	24.88921	67.063565
605	24.8658683	67.039345
606	24.9084307	67.0829752
608	24.9024985	67.0825971
609	24.9063783	67.079445
612	24.8840909	67.0479288
615	24.92008	67.10179
618	24.8970579	67.1153771
620	24.8893481	67.0617023
621	24.9110275	67.102505
623	24.8965838	67.0662
624	24.8970689	67.0617138
625	24.8777207	67.0686737
629	24.8690714	67.0470507
630	24.8680943	67.045175
634	24.8847553	67.0805709
636	24.9058372	67.1239721
637	24.8904133	67.0572933
638	24.873795	67.0452517
639	24.8658717	67.0292646
640	24.8657217	67.0360817
641	24.9120379	67.0886038
643	24.8924883	67.0461317
646	24.891725	67.067255
647	24.8955073	67.0715014
649	24.8631367	67.0539733
650	24.905671	67.0784306
652	24.9159923	67.0213
653	24.8838717	67.0839882
654	24.9088868	67.1221
655	24.8711067	67.0479767
656	24.8868624	67.0765643
657	24.892865	67.0636233
658	24.87026	67.0441233
659	24.8757595	67.0526441
660	24.9000899	67.1140621
661	24.8904107	67.0512509
662	24.8931967	67.056345
663	24.8885398	67.0489274
664	24.9158533	67.1001362
665	24.8984425	67.1148006
668	24.8640175	67.0302794
670	24.8671634	67.040067
672	24.8847952	67.0827661
673	24.890068	67.0489119
675	24.8850411	67.0628675
676	24.9060541	67.1239835
677	24.8963317	67.0569517
684	24.9057188	67.1181738
685	24.8955646	67.0559566
686	24.9217869	67.1028456
687	24.899075	67.0736233
689	24.87951	67.06069
691	24.8606888	67.0501917
692	24.8880283	67.0442767
693	24.8662233	67.0395232
696	24.9054367	67.1177183
697	24.8672423	67.0399085
699	24.9051871	67.1162393
701	24.89548	67.0737169
702	24.8688514	67.04696
703	24.8776678	67.0705272
708	24.9103392	67.1062993
710	24.9056016	67.1218189
715	24.9018501	67.1142476
716	24.9101967	67.1025383
717	24.8636425	67.0503246
718	24.8682454	67.0384205
719	24.873235	67.0478733
720	24.9187017	67.1084283
721	24.8963746	67.0572165
722	24.9117009	67.1035804
723	24.8703285	67.04715
724	24.889225	67.0505283
726	24.8862733	67.0763483
728	24.9036554	67.0682489
729	24.891805	67.0465767
730	24.8844117	67.0414783
733	24.9186267	67.109595
734	24.902147	67.1062429
735	24.8830619	67.0505827
736	24.8996726	67.0677608
740	24.913725	67.1020533
742	24.8632055	67.0308092
743	24.8817098	67.0682051
745	24.9008958	67.1203446
746	24.86926	67.0368883
747	24.8892817	67.0582417
748	24.9186483	67.1090517
749	24.9112636	67.1109362
752	24.8675717	67.0407001
754	24.8981905	67.1146743
755	24.90395	67.1137367
758	24.9033817	67.07557
763	24.90883	67.1224967
764	24.862506	67.0524218
765	24.8916517	67.0472033
766	24.887096	67.0530255
767	24.8640103	67.0302808
770	24.86283	67.0429317
772	24.91193	67.10406
773	24.906384	67.1123888
774	24.8681808	67.0451011
775	24.8643483	67.043365
776	24.8925928	67.0451443
778	24.8611106	67.0502456
781	24.8839606	67.0477845
783	24.8928	67.055155
784	24.8841252	67.0478893
791	24.8685131	67.0380281
792	24.91835	67.1109715
793	24.8672563	67.038634
794	24.8975752	67.115137
798	24.87146	67.052035
799	24.9055155	67.0781363
800	24.897185	67.0693134
804	24.8897333	67.0560733
807	24.9054764	67.0824003
809	24.8987581	67.1140328
811	24.881903	67.0678386
812	24.8681917	67.04202
813	24.8896266	67.0635736
817	24.8931604	67.0562526
819	24.8919783	67.05354
822	24.862735	67.042915
829	24.862735	67.042915
830	24.8954496	67.0739236
832	24.9039487	67.1091276
835	24.8995767	67.102765
837	24.8675562	67.044812
839	24.8979562	67.0618689
840	24.8853584	67.0799879
841	24.9097554	67.0846233
842	24.899709	67.0674487
847	24.8876738	67.0504189
848	24.87538	67.0534383
849	24.918645	67.1081183
850	24.8914683	67.0816
855	24.8951682	67.059419
856	24.8869479	67.0765573
860	24.908349	67.079931
863	24.8828323	67.0499759
865	24.8666892	67.0327582
867	24.8669165	67.0374328
868	24.8909667	67.0574133
869	24.8648311	67.0317327
871	24.9059244	67.0860704
874	24.8849105	67.0518574
875	24.8637317	67.0404987
876	24.8802717	67.0814475
879	24.9130946	67.1034707
882	24.8922267	67.0559917
884	24.9068914	67.1074536
885	24.9103442	67.0852772
888	24.9045372	67.0808176
889	24.8981815	67.1146782
891	24.8845	67.0517448
893	24.9061018	67.1237043
894	24.8931338	67.0464844
896	24.9010233	67.0677817
899	24.9122025	67.1004821
901	24.9057917	67.1182017
903	24.8861781	67.07907
906	24.8638008	67.0418139
907	24.8811893	67.0693545
908	24.868085	67.044265
